id,title,authors,grade,subject,publisher,year,isbn,language,page_url,file_url,file_format,file_size_bytes,file_sha256,cover_image_url,description,access_restriction,scrape_date,notes
b3a02c4171a93d4c38cc7d5df93aeaa6,Algebra. Grade 10. Textbook Yelemessov A. учебник для 10 класса,"Yelemessov A., Bazarov Y., Turapbekov A.",10,Алгебра,Астана-кітап,2023,,Русский,https://okulyk.kz/algebra/1588/,https://pdf.okulyk.kz/1588/1588.pdf,pdf,0,1029f9fd184ccab69e75059737e2e7cf3af9b682558bbd18e43626671f019838,,"вкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 10 класса , выпущен издательством Астана-кітап в 2023 году , язык обучения - Русский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетради, канцелярия, сменка и еще куча всяких полезностей. Не малый вес, правда? А что на счёт стоимости печатной литературы? Мы готовы помочь «разгрузить» портфель ученика и защитить финансы родителей.
          Учебник Algebra. Grade 10. Textbook Ye",public,2026-02-17T11:57:41,
65a752fe3f7c389fd4a79a42a04cab63,Алгебра және анализ бастамалары Абылкасымова А.Е. учебник для 10 класса 1 бөлім,"Абылкасымова А.Е., Кучер Т., Корчевский В., Жумагулова З.",10,Алгебра,Мектеп,2019,,Казахский                                                                                  /Русский,https://okulyk.kz/algebra/489/,https://pdf.okulyk.kz/489/489.pdf,pdf,0,fe031e612595a449a890e5fb7d35a1bd95b34c97c59835b97bb24e8c6898756c,,"                                                      / Русский Часть: 1 бөлім                                                                                          / 2 бөлім Читать онлайн Скачать PDF Решебники, ГДЗ Купить бумажный учебник с доставкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 10 класса , выпущен издательством Мектеп в 2019 году , язык обучения - Казахский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетра",public,2026-02-17T11:57:59,
0c2c941d2f85df96dde8e3d73b1e4e8e,Алгебра және анализ бастамалары Абылкасымова А.Е. учебник для 10 класса 2 бөлім,"Абылкасымова А.Е., Кучер Т., Корчевский В., Жумагулова З.",10,Алгебра,Мектеп,2019,,Казахский                                                                                  /Русский,https://okulyk.kz/algebra/490/,https://pdf.okulyk.kz/490/490.pdf,pdf,0,7a55b962ff71b807f9a48b6ef84fea7d8aad51588176ddd8354534d030e9ff81,,"                                                      / Русский Часть: 2 бөлім                                                                                          / 1 бөлім Читать онлайн Скачать PDF Решебники, ГДЗ Купить бумажный учебник с доставкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 10 класса , выпущен издательством Мектеп в 2019 году , язык обучения - Казахский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетра",public,2026-02-17T11:58:15,
204e8a8c1149641edc64b5a84d774ea4,Алгебра және анализ бастамалары Шыныбеков А.Н. учебник для 10 класса,"Шыныбеков А.Н., Шыныбеков Д., Жумабаев Р.",10,Алгебра,Атамура,2019,,Казахский                                                                                  /Русский,https://okulyk.kz/algebra/491/,https://pdf.okulyk.kz/491/491.pdf,pdf,0,2e19b608502aebcf35c0abd8723be3b49d69647c2f6cc24c233c928e5e2f1e05,,"                      / Русский Читать онлайн Скачать PDF Решебники, ГДЗ Купить бумажный учебник с доставкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 10 класса , выпущен издательством Атамура в 2019 году , язык обучения - Казахский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетради, канцелярия, сменка и еще куча всяких полезностей. Не малый вес, правда? А что на счёт стоимости печатной литературы? Мы готовы помочь «разгру",public,2026-02-17T11:58:31,
3b55c363ac77b6968e671eb8620282cd,Алгебра и начала анализа Шыныбеков А.Н. учебник для 10 класса,"Шыныбеков А.Н., Шыныбеков Д., Жумабаев Р.",10,Алгебра,Атамура,2019,,Русский                                                                                  /Казахский,https://okulyk.kz/algebra/515/,https://pdf.okulyk.kz/515/515.pdf,pdf,0,ae0ffdd665762a28b4e72dec5ba0c90c84881150af1748e1835e965315e1134c,," Казахский Читать онлайн Скачать PDF Решебники, ГДЗ Купить бумажный учебник с доставкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 10 класса , выпущен издательством Атамура в 2019 году , язык обучения - Русский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетради, канцелярия, сменка и еще куча всяких полезностей. Не малый вес, правда? А что на счёт стоимости печатной литературы? Мы готовы помочь «разгрузить» портфель ученика ",public,2026-02-17T11:58:38,
b50fd26b043c69dd965fabfc052ade70,Алгебра және анализ бастамалары Шыныбеков Е.Н. учебник для 11 класса 1 бөлім,"Шыныбеков Е.Н., Шыныбеков Д.Э., Жумбаева Р.Н.",11,Алгебра,Атамура,2020,,Казахский                                                                                  /Русский,https://okulyk.kz/algebra/777/,https://pdf.okulyk.kz/777/777.pdf,pdf,0,0fd8c16949500310aaafdbdf4afdcb9362fe9184213b4550847808c94d477e20,,"                                  / Русский Часть: 1 бөлім                                                                                          / 2 бөлім Читать онлайн Скачать PDF Решебники, ГДЗ Купить бумажный учебник с доставкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 11 класса , выпущен издательством Атамура в 2020 году , язык обучения - Казахский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетради, канцелярия, сме",public,2026-02-17T11:58:44,
e5736beceaa1f59774043bfa3ddce063,Алгебра және анализ бастамалары Шыныбеков Е.Н. учебник для 11 класса 2 бөлім,"Шыныбеков Е.Н., Шыныбеков Д.Э., Жумбаева Р.Н.",11,Алгебра,Атамура,2020,,Казахский                                                                                  /Русский,https://okulyk.kz/algebra/778/,https://pdf.okulyk.kz/778/778.pdf,pdf,0,52e566b55a3e640abf4e0f8ab5282d703025c3be8d8980d96854cdc86bdc38e6,,"                                  / Русский Часть: 2 бөлім                                                                                          / 1 бөлім Читать онлайн Скачать PDF Решебники, ГДЗ Купить бумажный учебник с доставкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 11 класса , выпущен издательством Атамура в 2020 году , язык обучения - Казахский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетради, канцелярия, сме",public,2026-02-17T11:58:48,
d0907b920f6f08a5834fb8c2db2f441f,Алгебра и начала анализа Шыныбеков Е.Н. учебник для 11 класса Часть 1,"Шыныбеков Е.Н., Шыныбеков Д.Э., Жумбаева Р.Н.",11,Алгебра,Атамура,2020,,Русский                                                                                  /Казахский,https://okulyk.kz/algebra/779/,https://pdf.okulyk.kz/779/779.pdf,pdf,0,a4b9d37332e9de256bb2b581f0761639d0617efcc389be095825ca5fcd045466,,"           / Казахский Часть: Часть 1                                                                                          / Часть 2 Читать онлайн Скачать PDF Решебники, ГДЗ Купить бумажный учебник с доставкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 11 класса , выпущен издательством Атамура в 2020 году , язык обучения - Русский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетради, канцелярия, сменка и еще куча всяких п",public,2026-02-17T11:58:57,
0d8065a1d021e6986c89203797e21a99,Алгебра и начала анализа Шыныбеков Е.Н. учебник для 11 класса Часть 2,"Шыныбеков Е.Н., Шыныбеков Д.Э., Жумбаева Р.Н.",11,Алгебра,Атамура,2020,,Русский                                                                                  /Казахский,https://okulyk.kz/algebra/780/,https://pdf.okulyk.kz/780/780.pdf,pdf,0,2e02382e1ec38ed29004b083182bae468736d05e24d68eaecc4cd9fb0234827b,,"           / Казахский Часть: Часть 2                                                                                          / Часть 1 Читать онлайн Скачать PDF Решебники, ГДЗ Купить бумажный учебник с доставкой На данной странице предствлен электронный учебник по предмету Алгебра для учеников 11 класса , выпущен издательством Атамура в 2020 году , язык обучения - Русский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетради, канцелярия, сменка и еще куча всяких п",public,2026-02-17T11:59:13,
34956e97b06f06797dc782ce14d16732,Алгебра Әбілқасымова А. учебник для 11 класса,Әбілқасымова А.,11,Алгебра,Мектеп,2020,,Уйгурский,https://okulyk.kz/algebra/1377/,https://pdf.okulyk.kz/1377/1377.pdf,pdf,0,149e539eba6ddf2ecca8a8ae5db1480fab3c7c8daa7bb3272b822d1e6d478d90,,"иков 11 класса , выпущен издательством Мектеп в 2020 году , язык обучения - Уйгурский . Представь всю тяжесть рюкзака за плечами, в котором лежит несколько книг, тетради, канцелярия, сменка и еще куча всяких полезностей. Не малый вес, правда? А что на счёт стоимости печатной литературы? Мы готовы помочь «разгрузить» портфель ученика и защитить финансы родителей.
          Учебник Алгебра Әбілқасымова А. можно читать on-line на любом устройстве, делать пометки, не боясь испортить странички. Если ",public,2026-02-17T11:59:28,
